"identifikator","nazev","ico","n_osoba_v_cele","osoba_type","osoba_jmeno","pravni_forma","nazev_pravni_formy"
"00237663","Město Dobrovice","00237663",1,"osoba","TOMÁŠ SEDLÁČEK","právní-forma/801","Obec"
"00508870","Město Kosmonosy","00508870",1,"osoba","EDUARD MASARČÍK","právní-forma/801","Obec"
"00236951","Město Kostelec nad Labem","00236951",1,"osoba","JOSEF CHALUPA","právní-forma/801","Obec"
"00509701","Město Králův Dvůr","00509701",1,"osoba","PETR VYCHODIL","právní-forma/801","Obec"
"00234630","Město Libušín","00234630",1,"osoba","VLADIMÍR EICHLER","právní-forma/801","Obec"
"00239453","Město Milovice","00239453",1,"osoba","MILAN POUR","právní-forma/801","Obec"
"00242888","Město Nový Knín","00242888",1,"osoba","RADEK HRUBÝ","právní-forma/801","Obec"
"00241636","Město Řevnice","00241636",1,"osoba","TOMÁŠ SMRČKA","právní-forma/801","Obec"
"00232645","Město Sedlec-Prčice","00232645",1,"osoba","MIROSLAVA JEŘÁBKOVÁ","právní-forma/801","Obec"
"00234923","Město Stochov","00234923",1,"osoba","ROMAN FORŠT","právní-forma/801","Obec"
"00232874","Město Trhový Štěpánov","00232874",1,"osoba","JOSEF KORN","právní-forma/801","Obec"
"00235954","Město Zásmuky","00235954",1,"osoba","MARTA VAŇKOVÁ","právní-forma/801","Obec"
"00237469","Městys Bezno","00237469",1,"osoba","ZDENĚK VOLF","právní-forma/801","Obec"
"00378275","Obec Odunec","00378275",1,"osoba","MILAN ŠABATKA","právní-forma/801","Obec"
"00515761","Obec Olešná","00515761",1,"osoba","PETR ŠLAK","právní-forma/801","Obec"
"00267988","Obec Olešná","00267988",1,"osoba","PETR HYRŠ","právní-forma/801","Obec"
"00286346","Obec Opatov","00286346",1,"osoba","JAN PETR","právní-forma/801","Obec"
"00378305","Obec Oslavička","00378305",1,"osoba","MARKÉTA ŠULOVÁ","právní-forma/801","Obec"
"00084409","Obec Osová Bítýška","00084409",1,"osoba","LENKA ŠTĚPÁNKOVÁ","právní-forma/801","Obec"
"00378313","Obec Ostašov","00378313",1,"osoba","JIŘÍ PROCHÁZKA","právní-forma/801","Obec"
"00267996","Obec Oudoleň","00267996",1,"osoba","BLANKA ZVOLÁNKOVÁ","právní-forma/801","Obec"
"00236144","Městys Kácov","00236144",1,"osoba","SOŇA KŘENOVÁ","právní-forma/801","Obec"
"00233374","Městys Karlštejn","00233374",1,"osoba","JOSEF ČVANČARA","právní-forma/801","Obec"
"00239305","Městys Kounice","00239305",1,"osoba","MIROSLAVA SOCHOROVÁ","právní-forma/801","Obec"
"00239364","Městys Křinec","00239364",1,"osoba","JAN LEBDUŠKA","právní-forma/801","Obec"
"00233501","Městys Liteň","00233501",1,"osoba","TOMÁŠ JURAJDA","právní-forma/801","Obec"
"00239399","Městys Loučeň","00239399",1,"osoba","MARTA PETERKOVÁ","právní-forma/801","Obec"
"00232173","Městys Louňovice pod Blaníkem","00232173",1,"osoba","VÁCLAV FEJTEK","právní-forma/801","Obec"
"00236217","Městys Malešov","00236217",1,"osoba","FRANTIŠEK BLÁHA","právní-forma/801","Obec"
"00232181","Městys Maršovice","00232181",1,"osoba","BOHUMIL JEŽEK","právní-forma/801","Obec"
"00232378","Městys Neustupov","00232378",1,"osoba","TOMÁŠ VRTIŠKA","právní-forma/801","Obec"
"00244210","Městys Pavlíkov","00244210",1,"osoba","MIROSLAV MACÁK","právní-forma/801","Obec"
"00236381","Městys Rataje nad Sázavou","00236381",1,"osoba","LUBOŠ KUBÁT","právní-forma/801","Obec"
"00583529","Obec Polesí","00583529",1,"osoba","JOSEF VACHEK","právní-forma/801","Obec"
"00378453","Obec Popůvky","00378453",1,"osoba","MARTIN ŠIGUT","právní-forma/801","Obec"
"48471640","Obec Tichov","48471640",1,"osoba","PETR TRČKA","právní-forma/801","Obec"
"00240028","Obec Babice","00240028",1,"osoba","MARCELA MARKS","právní-forma/801","Obec"
"00240036","Obec Bašť","00240036",1,"osoba","KATEŘINA NOVÁKOVÁ","právní-forma/801","Obec"
"00509612","Obec Bavoryně","00509612",1,"osoba","JAN NEDVĚD","právní-forma/801","Obec"
"00639770","Obec Bdín","00639770",1,"osoba","MARTIN CHARVÁT","právní-forma/801","Obec"
"00235253","Obec Bělušice","00235253",1,"osoba","LUKÁŠ BAROCH","právní-forma/801","Obec"
"00640301","Obec Bernardov","00640301",1,"osoba","JAN PAVEL","právní-forma/801","Obec"
"00473359","Obec Bernartice","00473359",1,"osoba","JITKA SMÍTKOVÁ","právní-forma/801","Obec"
"00238988","Obec Běrunice","00238988",1,"osoba","IVA SCHMIDOVÁ","právní-forma/801","Obec"
"00509621","Obec Běštín","00509621",1,"osoba","JAROSLAVA HOUDKOVÁ","právní-forma/801","Obec"
"00568759","Obec Ublo","00568759",1,"osoba","JAROSLAV ŠIMEK","právní-forma/801","Obec"
"00851825","Obec Ústí","00851825",1,"osoba","ZDENĚK SRNĚNSKÝ","právní-forma/801","Obec"
"00304417","Obec Velké Karlovice","00304417",1,"osoba","MIROSLAV KOŇAŘÍK","právní-forma/801","Obec"
"00304441","Obec Vigantice","00304441",1,"osoba","ZDENEK PORUBSKÝ","právní-forma/801","Obec"
"00568767","OBEC VLČKOVÁ","00568767",1,"osoba","VLADIMÍR ZBRANEK","právní-forma/801","Obec"
"00284700","OBEC VYSOKÉ POLE","00284700",1,"osoba","JOSEF ZICHA","právní-forma/801","Obec"
"00287938","Obec Zdounky","00287938",1,"osoba","MARTIN DRKULA","právní-forma/801","Obec"
"00252069","Město Bechyně","00252069",1,"osoba","ŠTĚPÁN ONDŘICH","právní-forma/801","Obec"
"00241237","Město Hostivice","00241237",1,"osoba","KLÁRA ČÁPOVÁ","právní-forma/801","Obec"
"00235482","Město Kouřim","00235482",1,"osoba","LUBOŠ ČEPELÁK","právní-forma/801","Obec"
"00241318","Město Jesenice","00241318",1,"osoba","PAVEL SMUTNÝ","právní-forma/801","Obec"
"00266299","Město Duchcov","00266299",1,"osoba","ZBYNĚK ŠIMBERA","právní-forma/801","Obec"
"00265403","Město Postoloprty","00265403",1,"osoba","ZDENĚK PIŠTORA","právní-forma/801","Obec"
"00266833","Obec Libouchec","00266833",1,"osoba","JIŘÍ BOLÍK","právní-forma/801","Obec"
"00234192","Obec Bratronice","00234192",1,"osoba","MILOSLAVA KNÍŽETOVÁ","právní-forma/801","Obec"
"00240087","Obec Brázdim","00240087",1,"osoba","VĚRA MOUDRÁ","právní-forma/801","Obec"
"00640123","OBEC BŘEZÍ","00640123",1,"osoba","PETRA BREBURDOVÁ","právní-forma/801","Obec"
"00233145","Obec Broumy","00233145",1,"osoba","PETR JIRKA","právní-forma/801","Obec"
"00242012","Obec Buková u Příbramě","00242012",1,"osoba","RENATA RAMPOVÁ","právní-forma/801","Obec"
"00640646","Obec Choťovice","00640646",1,"osoba","MILAN PETRÁŠEK","právní-forma/801","Obec"
"00236128","Obec Chotusice","00236128",1,"osoba","LUDMILA ZIMOVÁ LEHETOVÁ","právní-forma/801","Obec"
"00231886","Obec Chotýšany","00231886",1,"osoba","BOHUSLAV KOVÁŘ","právní-forma/801","Obec"
"00289507","Město Jaroměřice Nad Rokytnou","00289507",1,"osoba","JAROSLAV SOUKUP","právní-forma/801","Obec"
"00234273","Obec Doksy","00234273",1,"osoba","STANISLAV MACHULKA","právní-forma/801","Obec"
"49209001","Obec Podmokly","49209001",1,"osoba","PETR PAVLÍČEK","právní-forma/801","Obec"
"00236853","Obec Chlumín","00236853",1,"osoba","MIROSLAV PRIATKA","právní-forma/801","Obec"
